source_field,source_value,n_index_cancer_records,n_patients,include_n,exclude_n,manual_review_n,insufficient_info_n,rule_status
ca_type,Pancreatic Cancer,1110,1109,1056,30,24,0,aggregate_value_mapping
ca_d_site,C25.0,556,556,535,12,9,0,aggregate_value_mapping
ca_d_site,C25.2,189,189,172,8,9,0,aggregate_value_mapping
ca_d_site,C25.1,156,156,151,2,3,0,aggregate_value_mapping
ca_d_site,C25.9,136,136,129,7,0,0,aggregate_value_mapping
ca_d_site,C25.8,52,52,48,1,3,0,aggregate_value_mapping
ca_d_site,C25.7,20,20,20,0,0,0,aggregate_value_mapping
ca_d_site,suppressed_rare_values_n_lt_5,1,suppressed,suppressed,suppressed,suppressed,suppressed,rare_categories_suppressed
ca_histology,"Adenocarcinoma, NOS",431,431,427,3,1,0,aggregate_value_mapping
ca_histology,Missing/blank,402,402,386,8,8,0,aggregate_value_mapping
ca_histology,Invasive carcinoma of no special type,176,176,176,0,0,0,aggregate_value_mapping
ca_histology,Tubular adenocarcinoma,40,40,40,0,0,0,aggregate_value_mapping
ca_histology,Adenosquamous carcinoma,18,18,5,1,12,0,aggregate_value_mapping
ca_histology,Acinar cell carcinoma,11,11,2,9,0,0,aggregate_value_mapping
ca_histology,"Carcinoma, NOS",5,5,5,0,0,0,aggregate_value_mapping
ca_histology,suppressed_rare_values_n_lt_5,27,suppressed,suppressed,suppressed,suppressed,suppressed,rare_categories_suppressed
naaccr_histology_cd,Missing/blank,402,402,386,8,8,0,aggregate_value_mapping
naaccr_histology_cd,8140,371,371,367,3,1,0,aggregate_value_mapping
naaccr_histology_cd,8500,131,131,131,0,0,0,aggregate_value_mapping
naaccr_histology_cd,81403,60,60,60,0,0,0,aggregate_value_mapping
naaccr_histology_cd,85003,45,45,45,0,0,0,aggregate_value_mapping
naaccr_histology_cd,8211,40,40,40,0,0,0,aggregate_value_mapping
naaccr_histology_cd,8560,15,15,3,1,11,0,aggregate_value_mapping
naaccr_histology_cd,8550,10,10,2,8,0,0,aggregate_value_mapping
naaccr_histology_cd,suppressed_rare_values_n_lt_5,36,suppressed,suppressed,suppressed,suppressed,suppressed,rare_categories_suppressed
all_oncotree_codes,PAAD,1056,1055,1056,0,0,0,aggregate_value_mapping
all_oncotree_codes,PAASC,22,22,0,0,22,0,aggregate_value_mapping
all_oncotree_codes,PAAC,22,22,0,22,0,0,aggregate_value_mapping
all_oncotree_codes,UCP,8,8,0,8,0,0,aggregate_value_mapping
all_oncotree_codes,suppressed_rare_values_n_lt_5,2,suppressed,suppressed,suppressed,suppressed,suppressed,rare_categories_suppressed
rule,OncoTree PAAD + pancreatic index primary,,,,,,,include: Draft include
rule,OncoTree PAAC/UCP + pancreatic index primary,,,,,,,exclude: Non-PDAC pancreatic subtype
rule,OncoTree PAASC + pancreatic index primary,,,,,,,manual_review: Adenosquamous requires medical review
rule,No OncoTree but adenocarcinoma-compatible histology/code,,,,,,,include: Fallback only when OncoTree not informative
rule,Pancreatic primary but ambiguous histology/code,,,,,,,manual_review: Do not infer
rule,Missing OncoTree and histology/code,,,,,,,insufficient_info: Not enough information
