metric,value,source,evidence_scope,caution
unique_patients_patient_level,1109,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/patient_level_dataset.csv,aggregate_only_no_patient_level_values,
coverage_hybrid_death_int,879,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/patient_level_dataset.csv,aggregate_only_no_patient_level_values,
coverage_age_death_yrs,879,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/patient_level_dataset.csv,aggregate_only_no_patient_level_values,
coverage_last_alive_int,1109,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/patient_level_dataset.csv,aggregate_only_no_patient_level_values,
coverage_age_last_fu_yrs,1109,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/patient_level_dataset.csv,aggregate_only_no_patient_level_values,
index_cancer_rows,1110,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/cancer_level_dataset_index.csv,aggregate_only_no_patient_level_values,
unique_patients_with_index_cancer_row,1109,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/cancer_level_dataset_index.csv,aggregate_only_no_patient_level_values,
coverage_ca_histology,708,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/cancer_level_dataset_index.csv,aggregate_only_no_patient_level_values,
coverage_stage_dx,1110,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/cancer_level_dataset_index.csv,aggregate_only_no_patient_level_values,
coverage_stage_dx_iv,1110,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/cancer_level_dataset_index.csv,aggregate_only_no_patient_level_values,
coverage_ca_dmets_yn,497,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/cancer_level_dataset_index.csv,aggregate_only_no_patient_level_values,
coverage_ca_resect_status,1109,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/cancer_level_dataset_index.csv,aggregate_only_no_patient_level_values,
coverage_summary_stage,1108,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/cancer_level_dataset_index.csv,aggregate_only_no_patient_level_values,
non_index_cancer_rows,279,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/cancer_level_dataset_non_index.csv,aggregate_only_no_patient_level_values,
ngs_test_rows,1130,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/cancer_panel_test_level_dataset.csv,aggregate_only_no_patient_level_values,
unique_patients_with_ngs_test,1109,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/cancer_panel_test_level_dataset.csv,aggregate_only_no_patient_level_values,
unique_ngs_samples_cpt_genie_sample_id,1130,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/cancer_panel_test_level_dataset.csv,aggregate_only_no_patient_level_values,
patients_with_multiple_ngs_tests,20,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/cancer_panel_test_level_dataset.csv,aggregate_only_no_patient_level_values,
