source_table,source_field,target_table,target_field,relationship_type,evidence,caution
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,PATIENT_ID,candidate_primary_key,unique_count equals row_count (1109) and no missing values,Heuristic only; confirm against data dictionary.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,SAMPLE_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,SAMPLE_ID,candidate_primary_key,unique_count equals row_count (1130) and no missing values,Heuristic only; confirm against data dictionary.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PATIENT_ID,candidate_primary_key,unique_count equals row_count (1109) and no missing values,Heuristic only; confirm against data dictionary.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PATIENT_ID,candidate_primary_key,unique_count equals row_count (1002) and no missing values,Heuristic only; confirm against data dictionary.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_gene_matrix.txt,SAMPLE_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_gene_matrix.txt,SAMPLE_ID,candidate_primary_key,unique_count equals row_count (1130) and no missing values,Heuristic only; confirm against data dictionary.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_sample_acquisition.txt,SAMPLE_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_sample_acquisition.txt,SAMPLE_ID,candidate_primary_key,unique_count equals row_count (1130) and no missing values,Heuristic only; confirm against data dictionary.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/cancer_panel_test_level_dataset.csv,cpt_genie_sample_id,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/cancer_panel_test_level_dataset.csv,cpt_genie_sample_id,candidate_primary_key,unique_count equals row_count (1130) and no missing values,Heuristic only; confirm against data dictionary.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/cancer_panel_test_level_dataset.csv,record_id+cpt_genie_sample_id,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/cancer_panel_test_level_dataset.csv,record_id+cpt_genie_sample_id,possible_composite_key,ID-like fields; composite uniqueness requires formal confirmation.,No patient-level tuples are written by this audit.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/manifest.csv,ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/manifest.csv,ID,candidate_primary_key,unique_count equals row_count (10) and no missing values,Heuristic only; confirm against data dictionary.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/patient_level_dataset.csv,record_id,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/patient_level_dataset.csv,record_id,candidate_primary_key,unique_count equals row_count (1109) and no missing values,Heuristic only; confirm against data dictionary.
