check_name,status,value,detail
main_cohort_max_one_decision_sample_per_patient,pass,557,One selected t0 row per formal patient key.
selected_t0_uses_locked_pdac_instance,pass,557,Strict Extended rows are selected only after locking one PDAC cancer instance.
index_ngs_strictly_before_t0,pass,557,Index NGS report day must be strictly before t0.
advanced_evidence_strictly_before_t0,pass,557,Strict main analysis requires advanced_evidence_day < t0 start.
same_day_advanced_not_in_strict_core,pass,475,Same-day advanced evidence is sensitivity only.
regimen_components_lossless,pass,3153,Canonical drug set preserves all recognized raw components.
all_raw_regimens_have_mapping_status,pass,3153,Every original nonmissing regimen has an explicit mapping status.
base_cohort_not_endpoint_dependent,pass,extended=557 max_endpoint_field_present=557,Base cohorts are defined before endpoint-specific filtering.
cohort_flow_counts_monotonic,pass,10,Main flow should be non-increasing.
public_outputs_no_patient_level_ids,pass,0,Scans public outputs for institution-prefixed GENIE identifiers.
public_csv_small_counts_suppressed,pass,0,All public CSV count cells with 0<n<5 must be suppressed.
rule_based_conclusion_available,pass,Conditional Go,Conclusion is derived from rule checks.
