cohort,endpoint,status_field,time_field,legal_status_values,time_unit,time_origin,raw_event_date_recomputable,post_t0_outcome_status,cohort_n,status_nonmissing_n,illegal_status_n,event_n,censored_n,time_nonmissing_n,negative_time_n,zero_time_n,very_short_time_1_7_days_n,extreme_time_gt_3650_days_n,field_present_evaluable_n,post_t0_validated_evaluable_n,note
Strict Extended,OS,os_g_status,tt_os_g_days,0;1,days,start_of_selected_regimen,yes_limited_from_dob_relative_death_or_last_alive,t0_validated,557,557,0,464,93,557,0,0,<5,0,557,557,Overall survival from start of cancer-directed regimen.
Strict Extended,PFS-I,pfs_i_g_status,tt_pfs_i_g_days,0;1,days,start_of_selected_regimen,no_public_exact_dates,t0_validated,557,533,0,419,114,533,0,0,19,0,533,533,Imaging progression-free survival from start of cancer-directed regimen.
Strict Extended,PFS-M,pfs_m_g_status,tt_pfs_m_g_days,0;1,days,start_of_selected_regimen,no_public_exact_dates,t0_validated,557,533,0,352,181,533,0,0,10,0,533,533,Medical-oncologist-assessment progression-free survival from start of cancer-directed regimen.
Strict Extended,TTNT-any-cancer,ttnt_any_ca_status,ttnt_any_ca_days,0;1,days,regimen_level_field_origin_not_fully_validated,no_public_exact_dates,field_present_not_t0_validated,557,557,0,517,40,557,0,0,<5,0,557,0,Time to next treatment for any cancer.
Strict Extended,TTNT-associated-cancer,ttnt_ca_seq_status,ttnt_ca_seq_days,0;1,days,regimen_level_field_origin_not_fully_validated,no_public_exact_dates,field_present_not_t0_validated,557,557,0,516,41,557,0,0,<5,0,557,0,Time to next treatment for this cancer.
Strict Core,OS,os_g_status,tt_os_g_days,0;1,days,start_of_selected_regimen,yes_limited_from_dob_relative_death_or_last_alive,t0_validated,475,475,0,388,87,475,0,0,<5,0,475,475,Overall survival from start of cancer-directed regimen.
Strict Core,PFS-I,pfs_i_g_status,tt_pfs_i_g_days,0;1,days,start_of_selected_regimen,no_public_exact_dates,t0_validated,475,451,0,347,104,451,0,0,14,0,451,451,Imaging progression-free survival from start of cancer-directed regimen.
Strict Core,PFS-M,pfs_m_g_status,tt_pfs_m_g_days,0;1,days,start_of_selected_regimen,no_public_exact_dates,t0_validated,475,451,0,292,159,451,0,0,10,0,451,451,Medical-oncologist-assessment progression-free survival from start of cancer-directed regimen.
Strict Core,TTNT-any-cancer,ttnt_any_ca_status,ttnt_any_ca_days,0;1,days,regimen_level_field_origin_not_fully_validated,no_public_exact_dates,field_present_not_t0_validated,475,475,0,437,38,475,0,0,<5,0,475,0,Time to next treatment for any cancer.
Strict Core,TTNT-associated-cancer,ttnt_ca_seq_status,ttnt_ca_seq_days,0;1,days,regimen_level_field_origin_not_fully_validated,no_public_exact_dates,field_present_not_t0_validated,475,475,0,436,39,475,0,0,<5,0,475,0,Time to next treatment for this cancer.
