cohort,institution,index_ngs_year,n_patients,note
Strict Extended,DFCI,2014,11,Index NGS year distribution; exact calendar dates are masked.
Strict Extended,DFCI,2015,20,Index NGS year distribution; exact calendar dates are masked.
Strict Extended,DFCI,2016,49,Index NGS year distribution; exact calendar dates are masked.
Strict Extended,DFCI,2017,62,Index NGS year distribution; exact calendar dates are masked.
Strict Extended,DFCI,2018,52,Index NGS year distribution; exact calendar dates are masked.
Strict Extended,MSK,2014,<5,Index NGS year distribution; exact calendar dates are masked.
Strict Extended,MSK,2015,41,Index NGS year distribution; exact calendar dates are masked.
Strict Extended,MSK,2016,94,Index NGS year distribution; exact calendar dates are masked.
Strict Extended,MSK,2017,90,Index NGS year distribution; exact calendar dates are masked.
Strict Extended,MSK,2018,71,Index NGS year distribution; exact calendar dates are masked.
Strict Extended,UHN,2013,9,Index NGS year distribution; exact calendar dates are masked.
Strict Extended,UHN,2014,8,Index NGS year distribution; exact calendar dates are masked.
Strict Extended,UHN,2015,5,Index NGS year distribution; exact calendar dates are masked.
Strict Extended,UHN,2016,<5,Index NGS year distribution; exact calendar dates are masked.
Strict Extended,UHN,2017,<5,Index NGS year distribution; exact calendar dates are masked.
Strict Extended,UHN,2018,7,Index NGS year distribution; exact calendar dates are masked.
Strict Extended,VICC,2013,<5,Index NGS year distribution; exact calendar dates are masked.
Strict Extended,VICC,2014,<5,Index NGS year distribution; exact calendar dates are masked.
Strict Extended,VICC,2015,<5,Index NGS year distribution; exact calendar dates are masked.
Strict Extended,VICC,2016,6,Index NGS year distribution; exact calendar dates are masked.
Strict Extended,VICC,2017,10,Index NGS year distribution; exact calendar dates are masked.
Strict Extended,VICC,2018,7,Index NGS year distribution; exact calendar dates are masked.
