cohort,endpoint,status_field,time_field,time_origin,endpoint_definition,cohort_n,status_nonmissing_n,event_n,censored_n,time_nonmissing_n,negative_time_n,zero_time_n,evaluable_n,usable_from_t0,note
Extended draft,OS,os_g_status,tt_os_g_days,regimen start,Death or censoring from regimen start,557,557,464,93,557,0,0,557,yes,Endpoint-specific only; base cohort does not require outcome availability.
Extended draft,PFS-I,pfs_i_g_status,tt_pfs_i_g_days,regimen start,Radiology progression/death or censoring from regimen start,557,533,419,114,533,0,0,533,yes,Endpoint-specific only; base cohort does not require outcome availability.
Extended draft,PFS-M,pfs_m_g_status,tt_pfs_m_g_days,regimen start,Medical oncology assessment progression/death or censoring from regimen start,557,533,352,181,533,0,0,533,yes,Endpoint-specific only; base cohort does not require outcome availability.
Extended draft,TTNT-any-cancer,ttnt_any_ca_status,ttnt_any_ca_days,regimen start,Next treatment for any cancer or censoring,557,557,517,40,557,0,0,557,yes,Endpoint-specific only; base cohort does not require outcome availability.
Extended draft,TTNT-associated-cancer,ttnt_ca_seq_status,ttnt_ca_seq_days,regimen start,Next treatment for associated cancer or censoring,557,557,516,41,557,0,0,557,yes,Endpoint-specific only; base cohort does not require outcome availability.
Core draft,OS,os_g_status,tt_os_g_days,regimen start,Death or censoring from regimen start,485,485,395,90,485,0,0,485,yes,Endpoint-specific only; base cohort does not require outcome availability.
Core draft,PFS-I,pfs_i_g_status,tt_pfs_i_g_days,regimen start,Radiology progression/death or censoring from regimen start,485,461,354,107,461,0,0,461,yes,Endpoint-specific only; base cohort does not require outcome availability.
Core draft,PFS-M,pfs_m_g_status,tt_pfs_m_g_days,regimen start,Medical oncology assessment progression/death or censoring from regimen start,485,461,297,164,461,0,0,461,yes,Endpoint-specific only; base cohort does not require outcome availability.
Core draft,TTNT-any-cancer,ttnt_any_ca_status,ttnt_any_ca_days,regimen start,Next treatment for any cancer or censoring,485,485,447,38,485,0,0,485,yes,Endpoint-specific only; base cohort does not require outcome availability.
Core draft,TTNT-associated-cancer,ttnt_ca_seq_status,ttnt_ca_seq_days,regimen start,Next treatment for associated cancer or censoring,485,485,446,39,485,0,0,485,yes,Endpoint-specific only; base cohort does not require outcome availability.
