relative_path,file_name,extension,format,size_bytes,size_mb,sha256,encoding,delimiter,line_count,data_row_count,column_count,field_names,field_names_redacted,table_theme,duplicate_rows,notes
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_all.txt,cases_all.txt,.txt,delimited_text,29652,0.0283,1511d2421aaccefeefd4c8009be82dab01336d79faa5af1c3ba51cf26566dd43,utf-8-sig,colon,5,5,2,key|value,false,metadata_or_case_list,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_cna.txt,cases_cna.txt,.txt,delimited_text,28018,0.0267,b677f383d41fc7c661e36a17ebe690fc9e5936892430a131f496c968a5879bfc,utf-8-sig,colon,5,5,2,key|value,false,metadata_or_case_list,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_cnaseq.txt,cases_cnaseq.txt,.txt,delimited_text,28047,0.0267,3e9af0244a1695e1e816c6cb096f6c23a541ab6e0bad0b2f9c076df2d3ac84f6,utf-8-sig,colon,5,5,2,key|value,false,metadata_or_case_list,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_Pancreatic_Cancer.txt,cases_Pancreatic_Cancer.txt,.txt,delimited_text,29718,0.0283,599c9716eb8de218a9d8e60b8b270f7031f3a80842f353385357fdac664be3b3,utf-8-sig,colon,5,5,2,key|value,false,metadata_or_case_list,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_sequenced.txt,cases_sequenced.txt,.txt,delimited_text,29673,0.0283,f47450a2ce30d0aa3e72d537a7ada83c6473cd5d23edff6832a3640eefca34dc,utf-8-sig,colon,5,5,2,key|value,false,metadata_or_case_list,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_sv.txt,cases_sv.txt,.txt,delimited_text,28124,0.0268,29819213be634b1607cad0ec898e09d76dfd128d1c3019557ed293831d1e6bd0,utf-8-sig,colon,5,5,2,key|value,false,metadata_or_case_list,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,data_clinical_patient.txt,.txt,delimited_text,220320,0.2101,905f51494421d6d213ac22286d69adfc65733aef2a9ed43978e119f3054a12d6,utf-8-sig,tab,1114,1109,35,PATIENT_ID|CA_DMETS_YN|CA_GRADE|CA_HIST_ADENO_SQUAMOUS|CA_RESECT_STATUS|CA_HISTOLOGY|CA_TX_PRE_PATH_STAGE|DMETS_DX_ADRENAL|DMETS_DX_BONE|DMETS_DX_BRAIN|DMETS_DX_LIVER|DMETS_DX_LUNG|DMETS_DX_LYMPH|DMETS_DX_OTHER|DMETS_DX_PLEURA|DMETS_DX_SUBC_TISSUE|STAGE_DX|BIRTH_YEAR|CENTER|N_RT_PT|N_CANCERS|N_CANCERS_INDEX|N_IMAGING_REPORTS_PT|N_MD_NOTES_PT|N_TM_CA19_9_PT|N_TM_CEA_PT|N_TM_PT|N_PATH_REPORTS_PT|N_REGIMENS_PT|N_SCANS_CT_PT|N_SCANS_MRI_PT|N_SCANS_PET_CT_PT|ETHNICITY|PRIMARY_RACE|SEX,false,patient,0,
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,data_clinical_sample.txt,.txt,delimited_text,111080,0.1059,5711cc81f9669dd120f64fe7afcd3169c8fdd036cba875513c09245d43ed4a0d,utf-8-sig,tab,1135,1130,9,SAMPLE_ID|ONCOTREE_CODE|SEQ_ASSAY_ID|AGE_AT_SEQUENCING|PATIENT_ID|SAMPLE_TYPE_DETAILED|PDL1_POSITIVE_ANY|PDL1_TESTING|CPT_SEQ_DATE,false,sample_or_ngs_test,0,
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,data_clinical_supp_survival.txt,.txt,delimited_text,130995,0.1249,35f6d92b7d4face03b2aa0e7fce85e3b5922eaedba17fbfd03b9c4e3dbd03bc8,utf-8-sig,tab,1115,1109,7,PATIENT_ID|PFS_I_ADV_STATUS|PFS_M_ADV_STATUS|PFS_I_ADV_MONTHS|PFS_M_ADV_MONTHS|OS_STATUS|OS_MONTHS,false,outcome_or_followup,0,
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,data_clinical_supp_survival_treatment.txt,.txt,delimited_text,348413,0.3323,340e79678e53465ba36a1cce79bd7097f4d9ab96175870f3696b220da28271bc,utf-8-sig,tab,1008,1002,121,PATIENT_ID|OS_1794_STATUS|PFS_1794_IMAGING_STATUS|PFS_1794_MED_STATUS|OS_1794_MONTHS|PFS_1794_IMAGING_MONTHS|PFS_1794_MED_MONTHS|OS_1794_961_STATUS|PFS_1794_961_IMAGING_STATUS|PFS_1794_961_MED_STATUS|OS_1794_961_MONTHS|PFS_1794_961_IMAGING_MONTHS|PFS_1794_961_MED_MONTHS|OS_1794_1181_STATUS|PFS_1794_1181_IMAGING_STATUS|PFS_1794_1181_MED_STATUS|OS_1794_1181_MONTHS|PFS_1794_1181_IMAGING_MONTHS|PFS_1794_1181_MED_MONTHS|OS_376_961_STATUS|PFS_376_961_IMAGING_STATUS|PFS_376_961_MED_STATUS|OS_376_961_MONTHS|PFS_376_961_IMAGING_MONTHS|PFS_376_961_MED_MONTHS|OS_376_961_2688_STATUS|PFS_376_961_2688_IMAGING_STATUS|PFS_376_961_2688_MED_STATUS|OS_376_961_2688_MONTHS|PFS_376_961_2688_IMAGING_MONTHS|PFS_376_961_2688_MED_MONTHS|OS_505_STATUS|PFS_505_IMAGING_STATUS|PFS_505_MED_STATUS|OS_505_MONTHS|PFS_505_IMAGING_MONTHS|PFS_505_MED_MONTHS|OS_505_1381_607_STATUS|PFS_505_1381_607_IMAGING_STATUS|PFS_505_1381_607_MED_STATUS|OS_505_1381_607_MONTHS|PFS_505_1381_607_IMAGING_MONTHS|PFS_505_1381_607_MED_MONTHS|OS_505_1381_607_1181_STATUS|PFS_505_1381_607_1181_IMAGING_STATUS|PFS_505_1381_607_1181_MED_STATUS|OS_505_1381_607_1181_MONTHS|PFS_505_1381_607_1181_IMAGING_MONTHS|PFS_505_1381_607_1181_MED_MONTHS|OS_505_1381_1181_STATUS|PFS_505_1381_1181_IMAGING_STATUS|PFS_505_1381_1181_MED_STATUS|OS_505_1381_1181_MONTHS|PFS_505_1381_1181_IMAGING_MONTHS|PFS_505_1381_1181_MED_MONTHS|OS_505_82676_STATUS|PFS_505_82676_IMAGING_STATUS|PFS_505_82676_MED_STATUS|OS_505_82676_MONTHS|PFS_505_82676_IMAGING_MONTHS|PFS_505_82676_MED_MONTHS|OS_505_82676_607_STATUS|PFS_505_82676_607_IMAGING_STATUS|PFS_505_82676_607_MED_STATUS|OS_505_82676_607_MONTHS|PFS_505_82676_607_IMAGING_MONTHS|PFS_505_82676_607_MED_MONTHS|OS_505_607_STATUS|PFS_505_607_IMAGING_STATUS|PFS_505_607_MED_STATUS|OS_505_607_MONTHS|PFS_505_607_IMAGING_MONTHS|PFS_505_607_MED_MONTHS|OS_505_607_1181_STATUS|PFS_505_607_1181_IMAGING_STATUS|PFS_505_607_1181_MED_STATUS|OS_505_607_1181_MONTHS|PFS_505_607_1181_IMAGING_MONTHS|PFS_505_607_1181_MED_MONTHS|OS_505_1181_STATUS|PFS_505_1181_IMAGING_STATUS|PFS_505_1181_MED_STATUS|OS_505_1181_MONTHS|PFS_505_1181_IMAGING_MONTHS|PFS_505_1181_MED_MONTHS|OS_961_STATUS|PFS_961_IMAGING_STATUS|PFS_961_MED_STATUS|OS_961_MONTHS|PFS_961_IMAGING_MONTHS|PFS_961_MED_MONTHS|OS_961_2688_STATUS|PFS_961_2688_IMAGING_STATUS|PFS_961_2688_MED_STATUS|OS_961_2688_MONTHS|PFS_961_2688_IMAGING_MONTHS|PFS_961_2688_MED_MONTHS|OS_961_1181_STATUS|PFS_961_1181_IMAGING_STATUS|PFS_961_1181_MED_STATUS|OS_961_1181_MONTHS|PFS_961_1181_IMAGING_MONTHS|PFS_961_1181_MED_MONTHS|OS_82676_STATUS|PFS_82676_IMAGING_STATUS|PFS_82676_MED_STATUS|OS_82676_MONTHS|PFS_82676_IMAGING_MONTHS|PFS_82676_MED_MONTHS|OS_2688_STATUS|PFS_2688_IMAGING_STATUS|PFS_2688_MED_STATUS|OS_2688_MONTHS|PFS_2688_IMAGING_MONTHS|PFS_2688_MED_MONTHS|OS_71721_STATUS|PFS_71721_IMAGING_STATUS|PFS_71721_MED_STATUS|OS_71721_MONTHS|PFS_71721_IMAGING_MONTHS|PFS_71721_MED_MONTHS,false,treatment,0,
