table_path,public_field_name,row_count,missing_count,missing_rate,unique_count,inferred_type
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_all.txt,key,5,0,0.0,5,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_all.txt,value,5,0,0.0,4,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_cna.txt,key,5,0,0.0,5,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_cna.txt,value,5,0,0.0,4,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_cnaseq.txt,key,5,0,0.0,5,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_cnaseq.txt,value,5,0,0.0,4,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_Pancreatic_Cancer.txt,key,5,0,0.0,5,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_Pancreatic_Cancer.txt,value,5,0,0.0,5,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_sequenced.txt,key,5,0,0.0,5,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_sequenced.txt,value,5,0,0.0,5,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_sv.txt,key,5,0,0.0,5,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_sv.txt,value,5,0,0.0,4,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,PATIENT_ID,1109,0,0.0,1109,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,CA_DMETS_YN,1109,612,0.551849,1,boolean
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,CA_GRADE,1109,584,0.526601,4,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,CA_HIST_ADENO_SQUAMOUS,1109,0,0.0,5,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,CA_RESECT_STATUS,1109,1,0.000902,4,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,CA_HISTOLOGY,1109,401,0.361587,20,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,CA_TX_PRE_PATH_STAGE,1109,593,0.534716,3,mixed_string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,DMETS_DX_ADRENAL,1109,612,0.551849,2,boolean
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,DMETS_DX_BONE,1109,612,0.551849,2,boolean
