cohort,metric,value,note
Strict Extended,n_patients,557,One t0 row per formal patient key.
Strict Extended,line_number_present,557,One t0 row per formal patient key.
Strict Extended,same_day_multiple_t0_regimens,0,One t0 row per formal patient key.
Strict Extended,duplicate_regimen_records_before_t0,0,One t0 row per formal patient key.
Strict Extended,prior_overlap_with_t0,0,One t0 row per formal patient key.
Strict Extended,line_start_order_consistent,557,One t0 row per formal patient key.
Strict Extended,treatment_sequence_clean,557,One t0 row per formal patient key.
Strict Core,n_patients,475,One t0 row per formal patient key.
Strict Core,line_number_present,475,One t0 row per formal patient key.
Strict Core,same_day_multiple_t0_regimens,0,One t0 row per formal patient key.
Strict Core,duplicate_regimen_records_before_t0,0,One t0 row per formal patient key.
Strict Core,prior_overlap_with_t0,0,One t0 row per formal patient key.
Strict Core,line_start_order_consistent,475,One t0 row per formal patient key.
Strict Core,treatment_sequence_clean,475,One t0 row per formal patient key.
Same-day sensitivity,n_patients,557,One t0 row per formal patient key.
Same-day sensitivity,line_number_present,557,One t0 row per formal patient key.
Same-day sensitivity,same_day_multiple_t0_regimens,0,One t0 row per formal patient key.
Same-day sensitivity,duplicate_regimen_records_before_t0,0,One t0 row per formal patient key.
Same-day sensitivity,prior_overlap_with_t0,0,One t0 row per formal patient key.
Same-day sensitivity,line_start_order_consistent,557,One t0 row per formal patient key.
Same-day sensitivity,treatment_sequence_clean,557,One t0 row per formal patient key.
